nid,company_uid,title,date,Salary,City,jobtype,experience,preferred_gender,preferred_nationality,preferred_languages
4369,134185,"Executive Chef - relocation to Dubai, United Arab Emirates",6/22/2020,3000,"Dubai, United Arab Emirates",fulltime,5+ years,Male/Female,,English
4368,134185,"Floor Supervisor - relocation to Dubai, United Arab Emirates",6/22/2020,1300,"Dubai, United Arab Emirates",fulltime,5+ years,Male/Female,,English
4367,247773,"Personal Assistant - relocation to Dubai, United Arab Emirates",6/22/2020,1500,"Dubai, United Arab Emirates",fulltime,,Female,,English
4364,31887,"Intern - relocation to Dubai, United Arab Emirates",6/21/2020,20,"Dubai, United Arab Emirates",parttime,,,,
4363,247405,"Marketing Executive - relocation to Dubai, United Arab Emirates",6/21/2020,2000,"Dubai, United Arab Emirates",fulltime,2 years,,,English
4362,247377,"Spa Manager - relocation to Dubai, United Arab Emirates",6/21/2020,1500,"Dubai, United Arab Emirates",fulltime,2 years,Female,,English
4361,170581,"Personal Assistant - relocation to Dubai, United Arab Emirates",6/20/2020,3200,"Dubai, United Arab Emirates",fulltime,,Female,,English
4359,245219,"Sales - relocation to Dubai, United Arab Emirates",6/18/2020,1500,"Dubai, United Arab Emirates",fulltime,3 years,Female,,"English, French"
4358,201750,"Sales Manager - relocation to Dubai, United Arab Emirates",6/18/2020,4000,"Dubai, United Arab Emirates",fulltime,10+ years,,,
4357,121122,"Personal Assistant - relocation to Dubai, United Arab Emirates",6/17/2020,1500,"Dubai, United Arab Emirates",fulltime,,Female,,
4356,245219,"Sales - relocation to Dubai, United Arab Emirates",6/17/2020,2000,"Dubai, United Arab Emirates",fulltime,2 years,Female,,"English, French"
4354,244052,"Housekeeping - relocation to Dubai, United Arab Emirates",6/15/2020,800,"Dubai, United Arab Emirates",fulltime,5+ years,,,English
4353,244052,"Chef - relocation to Dubai, United Arab Emirates",6/14/2020,800,"Dubai, United Arab Emirates",fulltime,5+ years,Female,,English
4352,135212,"Marketing Manager - relocation to Dubai, United Arab Emirates",6/12/2020,2000,"Dubai, United Arab Emirates",fulltime,1 year,Female,,
4351,238538,"Brand ambassador - relocation to Dubai, United Arab Emirates",6/12/2020,4000,"Dubai, United Arab Emirates",both,,,,
4350,238538,"Personal Assistant - relocation to Dubai, United Arab Emirates",6/11/2020,4500,"Dubai, United Arab Emirates",fulltime,,Female,,English
4349,96983,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",6/11/2020,1600,"Dubai, United Arab Emirates",fulltime,2 years,Male/Female,,English
4348,63119,"Pastry Chef - relocation to Dubai, United Arab Emirates",6/9/2020,0,"Manama, Bahrain",fulltime,5+ years,Male/Female,,
4347,63119,"Sous Chef - relocation to Dubai, United Arab Emirates",6/9/2020,0,"Manama, Bahrain",fulltime,5+ years,Male,,English
4345,124250,"Runner / Commis - relocation to Dubai, United Arab Emirates",6/7/2020,400,"Abu Dhabi, United Arab Emirates",fulltime,1 year,Female,,Hindi
4344,124250,"Sous Chef - relocation to Dubai, United Arab Emirates",6/7/2020,1300,"Abu Dhabi, United Arab Emirates",fulltime,5+ years,Female,,Hindi
4342,173788,"Administrations - relocation to Dubai, United Arab Emirates",6/6/2020,1500,"Dubai, United Arab Emirates",both,,Female,,"English, French"
4341,238538,"Personal Assistant - relocation to Dubai, United Arab Emirates",6/6/2020,5000,"Dubai, United Arab Emirates",fulltime,,Female,,English
4340,238538,"Sales - relocation to Dubai, United Arab Emirates",6/6/2020,3000,"Dubai, United Arab Emirates",both,,Female,,
4338,31992,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",6/5/2020,2000,"Dubai, United Arab Emirates",both,,,,
4337,31887,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",6/4/2020,2000,"Dubai, United Arab Emirates",fulltime,2 years,Male/Female,,English
4336,239748,"Operations Manager - relocation to Dubai, United Arab Emirates",6/4/2020,5000,"Abu Dhabi, United Arab Emirates",fulltime,,,,
4332,63119,"Reservations Manager - relocation to Dubai, United Arab Emirates",6/2/2020,0,"Manama, Bahrain",fulltime,5+ years,Female,,
4331,180670,"Bartender / Barmaid - relocation to Dubai, United Arab Emirates",6/1/2020,0,"Dubai, United Arab Emirates",fulltime,,,,
4330,180670,"Host/Hostess - relocation to Dubai, United Arab Emirates",6/1/2020,0,"Dubai, United Arab Emirates",fulltime,2 years,Female,,
4329,180670,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",6/1/2020,0,"Dubai, United Arab Emirates",fulltime,,,,
4328,125833,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",5/31/2020,1060,"Dubai, United Arab Emirates",fulltime,,Female,,English
4327,229352,"Cashier - relocation to Dubai, United Arab Emirates",5/31/2020,0,"Dubai, United Arab Emirates",fulltime,2 years,Male/Female,,English
4326,236558,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",5/26/2020,1000,"Dubai, United Arab Emirates",fulltime,,,,"English, Italian"
4325,173788,"Administrations - relocation to Dubai, United Arab Emirates",5/24/2020,1500,"Dubai, United Arab Emirates",both,2 years,Female,,"English, French"
4324,171490,"Waiter /Waitress - relocation to Dubai, United Arab Emirates",5/22/2020,750,"Abu Dhabi, United Arab Emirates",fulltime,,,,
