uid,Age,Gender,Preferred Positions,Nationality,LivingIn,Experience,Languages Known,Skills,Created date,Last access
247516,29,Female,"Personal Assistant, Assistant General Manager, Brand ambassador, Events Coordinator, Guest Relations Agent, Head Host/Hostess",Ireland,United Arab Emirates,5+ years,English,"Confidence, Decision Making, Interpersonal Skills, Leadership  Skills, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",06/21/2020,06/23/2020
174458,31,Male,"Floor Supervisor, VIP Waiter/Waitress, Waiter /Waitress",Morocco,United Arab Emirates,5+ years,"Arabic, English, French","Communication Skills, Confidence, Creativity, Flexibility, Language Skills",09/08/2019,06/23/2020
247063,22,Female,Guest Relations Manager,United States,United Arab Emirates, 4 years,"Chinese, Simplified, English, Portuguese, Brazil, Spanish",,06/20/2020,06/23/2020
245092,25,Female,"Personal Assistant, Sales, Marketing Coordinator, Marketing Executive, Office Manager",United Kingdom,United Arab Emirates,5+ years,English,"Communication Skills, Computing Skills, Interpersonal Skills, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure",06/16/2020,06/23/2020
159908,28,Male,"Bar Supervisor, Bartender / Barmaid",Nepal,United Arab Emirates,5+ years,"English, Hindi, Nepali, Urdu","Communication Skills, Computing Skills, Confidence, Creativity, Flexibility, Interpersonal Skills, Language Skills, Leadership  Skills, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",07/09/2019,06/23/2020
246110,24,Female,"Host/Hostess, Personal Assistant, Receptionist, Sales, Real Estate Agent, VIP Waiter/Waitress",Portugal,United Arab Emirates,5+ years,"English, Portuguese, Portugal",,06/18/2020,06/23/2020
49100,27,Female,"Bartender / Barmaid, Assistant Club Manager, Bar Manager, Bar Supervisor, Mixologist",Ukraine,United Arab Emirates,5+ years,"English, French, Russian","Adaptability, Confidence, Creativity, Decision Making, Flexibility, Leadership  Skills, Proactive, Self Motivated, Team Work Skills, Work Under  Pressure",07/25/2016,06/23/2020
200934,31,Female,"Host/Hostess, Receptionist, Cashier, Customer Service",Brazil,United Arab Emirates,5+ years,"Portuguese, Brazil","Adaptability, Confidence, Flexibility, Interpersonal Skills, Perseverance, Proactive, Problem Solving, Team Work Skills",01/13/2020,06/23/2020
101195,28,Female,"Host/Hostess, Personal Assistant, Brand ambassador, Promoter, Retail Sales Executive, VIP Waiter/Waitress",Nigeria,United Arab Emirates,5+ years,"Afrikaans, English, French","Adaptability, Communication Skills, Computing Skills, Confidence, Creativity, Flexibility, Language Skills, Marketing Skills, Persuading, Self Motivated, Team Work Skills, Work Under  Pressure",05/23/2018,06/23/2020
147546,30,Male,Waiter /Waitress,Cameroon,United Arab Emirates, 4 years,English,"Adaptability, Communication Skills, Computing Skills, Confidence, Flexibility, Language Skills, Leadership  Skills, Organisation Skills, Persuading, Problem Solving, Team Work Skills, Time Management",04/14/2019,06/23/2020
109645,26,Male,"Host/Hostess, Waiter /Waitress, Sales, Customer Service, Floor Supervisor, VIP Waiter/Waitress",Kenya,United Arab Emirates,5+ years,"English, Spanish, Swahili","Adaptability, Commercial Awareness, Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Leadership  Skills, Negotiation Skills, Persuading, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",08/21/2018,06/23/2020
124690,37,Female,"Cocktail Waiter/Waitress, Host/Hostess, Receptionist, Reservations, VIP Waiter/Waitress, Waiter /Waitress",India,India, 4 years,"English, Hindi, Marathi","Confidence, Flexibility, Team Work Skills, Time Management, Work Under  Pressure",11/11/2018,06/23/2020
30503,38,Male,"Floor Supervisor, VIP Waiter/Waitress",Cameroon,United Arab Emirates,5+ years,"English, French","Communication Skills, Computing Skills, Decision Making, Flexibility, Interpersonal Skills, Leadership  Skills, Marketing Skills, Negotiation Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Work Under  Pressure, Written Communication",01/04/2016,06/23/2020
197421,31,Female,"Marketing Coordinator, Marketing Executive",United Kingdom,United Arab Emirates,5+ years,English,"Communication Skills, Computing Skills, Confidence, Creativity, Decision Making, Interpersonal Skills, Marketing Skills, Organisation Skills, Proactive, Self Motivated, Team Work Skills, Time Management, Written Communication",12/16/2019,06/23/2020
56162,38,Male,Bartender / Barmaid,Bulgaria,United Arab Emirates,5+ years,"Bulgarian, English","Adaptability, Communication Skills, Creativity, Team Work Skills",11/17/2016,06/23/2020
139730,32,Female,"Personal Assistant, Brand ambassador, Guest Relations Manager, Office Manager, Reservations Manager",Slovakia,United Arab Emirates,10+ years,"Czech, English, Slovak","Computing Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Leadership  Skills, Management Skills, Marketing Skills, Organisation Skills, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure",02/18/2019,06/23/2020
80962,41,Male,"Bar Manager, Bar Supervisor",Philippines,United Arab Emirates,10+ years,"English, Filipino","Adaptability, Communication Skills, Flexibility, Interpersonal Skills, Leadership  Skills, Numeracy Skills, Proactive, Self Motivated, Team Work Skills",11/02/2017,06/23/2020
248064,26,Female,"Personal Assistant, Housekeeping",Philippines,Philippines, 4 years,"English, Filipino",,06/23/2020,06/23/2020
180637,28,Male,"Bartender / Barmaid, Floor Supervisor, Sales, VIP Waiter/Waitress",India,United Arab Emirates,5+ years,"English, Hindi, Malayalam, Tamil","Adaptability, Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Interpersonal Skills, Language Skills, Leadership  Skills, Numeracy Skills, Persuading, Proactive, Problem Solving, Self Motivated, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",10/04/2019,06/23/2020
167092,22,Male,Waiter /Waitress,Ukraine,Ukraine, 4 years,"English, Russian, Ukrainian","Adaptability, Communication Skills, Creativity, Leadership  Skills, Self Motivated, Team Work Skills",08/08/2019,06/23/2020
243690,29,Female,"Personal Assistant, Marketing Executive",Bosnia and Herzegovina,United Arab Emirates,2 years,"Bosnian, English",,06/12/2020,06/23/2020
113022,30,Female,"HR Manager, Operations Manager, Sales Manager",United Kingdom,United Arab Emirates,10+ years,English,"Communication Skills, Confidence, Interpersonal Skills, Leadership  Skills, Management Skills, Marketing Skills, Problem Solving",09/04/2018,06/23/2020
245772,31,Male,"Waiter /Waitress, Cocktail Waiter/Waitress, Floor Manager, Floor Supervisor, VIP Waiter/Waitress",Serbia,United Arab Emirates,10+ years,"English, Serbian","Communication Skills, Confidence, Creativity, Decision Making, Flexibility, Negotiation Skills, Team Work Skills, Time Management, Work Under  Pressure, Written Communication",06/17/2020,06/23/2020
245776,30,Female,"Waiter /Waitress, Cashier, Housekeeping",Indonesia,Indonesia, 4 years,English,"Adaptability, Communication Skills, Confidence, Creativity, Leadership  Skills, Self Motivated, Team Work Skills",06/17/2020,06/23/2020
