nid,uid
687,72168
687,95346
687,156640
687,161775
687,181154
687,204622
687,204814
687,222824
687,223032
687,223037
687,223064
695,87943
695,97912
695,121637
695,125324
695,131078
695,132628
695,133622
695,133892
695,134416
695,136922
695,142207
695,143326
695,146860
695,147066
695,147953
695,150606
695,159002
695,159902
695,169077
695,175746
695,176731
695,183490
695,198534
695,199574
697,71092
697,73376
697,138943
697,182649
697,196912
701,116806
701,133892
701,135608
701,136196
701,141298
701,144655
701,149861
701,153199
701,153976
701,159038
701,160043
701,160123
701,175594
701,176523
701,195709
701,200019
701,200542
701,204920
702,47313
702,65938
702,73426
702,84636
702,110774
702,112065
702,123814
702,129901
702,133554
702,133622
702,136006
702,137510
702,137573
702,137900
702,140282
702,142207
702,144535
702,147139
702,148041
702,149191
702,154666
702,155976
702,157211
702,159686
702,164198
702,164206
702,179205
702,183247
702,186506
702,187789
702,189948
702,196484
702,198386
702,198732
702,199521
702,218032
735,132786
735,144206
735,145154
735,149709
735,150699
735,164173
735,164198
735,170096
735,173017
735,179567
735,194428
735,203285
736,130464
736,132056
736,137577
736,140784
736,141207
736,142575
736,143135
736,143581
736,145485
736,148582
736,153639
736,154892
736,156203
736,160198
736,160344
736,162263
736,163055
736,163225
736,164346
736,164437
736,167466
736,172067
736,222453
744,132612
744,137678
744,138247
744,139188
744,140938
744,145165
744,156314
744,161685
744,161775
744,162300
744,163431
744,201789
744,204408
747,109704
747,144550
747,174168
747,196551
753,66401
753,69287
753,102631
753,108944
753,116414
753,124538
753,132433
753,132464
753,140604
753,142828
753,143938
753,144962
753,146836
753,146860
753,147066
753,147182
753,147919
753,150443
753,153589
753,154252
753,155530
753,156253
753,157882
753,159561
753,159902
753,160791
753,163124
753,164206
753,166321
753,166690
753,168494
753,169364
753,169840
753,175173
753,176731
753,183226
753,189767
753,191483
753,191971
753,192063
753,197059
753,197884
753,204481
753,204814
753,206225
753,207476
753,210824
760,105005
760,106876
760,129638
760,134866
760,145022
760,145277
760,145535
760,158140
760,160655
761,123223
761,177098
762,134446
762,134928
762,135608
762,142302
762,144823
762,147118
762,174168
762,177098
762,179677
762,183490
762,196551
768,123223
768,145046
768,154177
768,157627
768,161775
768,185340
773,28089
773,57874
773,66821
773,67070
773,69494
773,69812
773,79758
773,101046
773,113275
773,113481
773,114800
773,115089
773,116529
773,118479
773,125452
773,130793
773,132457
773,132835
773,135240
773,136895
773,137275
773,138144
773,140282
773,140667
773,141038
773,142492
773,142651
773,143024
773,143380
773,143778
773,144056
773,145362
773,146343
773,146812
773,146948
773,147690
773,147830
773,148287
773,149186
773,151328
773,151407
773,153533
773,153861
773,154837
773,155336
773,155343
773,155355
773,155478
773,156419
773,156593
773,156714
773,159876
773,162300
773,166283
773,166553
773,167347
773,171752
773,172529
773,177384
773,180333
773,182254
773,182971
773,183443
773,184113
773,184560
773,188673
773,189766
773,189948
773,196010
773,196331
773,196771
773,196977
773,197243
773,197744
773,198732
773,199623
773,199784
773,201160
773,202343
773,202395
773,204408
773,206261
773,207658
773,214862
781,63563
781,69494
781,97937
781,98835
781,107636
781,112110
781,116806
781,117858
781,119993
781,132501
781,132761
781,132800
781,133702
781,134060
781,134073
781,134105
781,134239
781,134497
781,134736
781,135536
781,136371
781,136645
781,138356
781,139934
781,139958
781,141038
781,142451
781,143380
781,143778
781,144598
781,145808
781,146785
781,147830
781,148001
781,148501
781,148648
781,149352
781,151011
781,153861
781,154909
781,154967
781,155855
781,156477
781,159340
781,159902
781,161865
781,163101
781,167582
781,169185
781,169840
781,171752
781,176200
781,176715
781,177207
781,183365
781,186969
781,189365
781,194510
781,196018
781,196498
781,198400
781,202343
781,205319
781,207476
781,208069
782,89967
782,101046
782,132677
782,137245
782,141298
782,153432
782,155478
782,183247
782,206446
784,101981
784,112382
784,126344
784,138144
784,146498
784,158005
784,166290
784,183330
784,187252
796,63002
796,75224
796,99786
796,116806
796,125324
796,143378
796,146773
796,148982
796,161775
796,165257
796,166690
796,172933
796,187005
796,193894
796,202753
796,204721
800,130695
800,133360
800,135071
800,146089
800,152360
800,162464
800,165099
800,199944
804,81469
804,114800
804,131542
804,162891
804,208989
805,52216
805,132587
805,139943
805,141157
805,144237
805,145217
805,146367
805,146708
805,147202
805,148582
805,154919
805,156613
805,160611
805,161324
805,162685
805,163513
805,167283
805,173198
805,191775
805,195638
812,100358
812,124926
812,131542
812,142651
812,149987
823,150719
823,155630
823,164949
823,167190
823,175297
823,177935
829,77690
829,122713
829,132056
829,137070
829,137577
829,140784
829,144281
829,148582
829,152739
829,153525
829,153639
829,154177
829,159128
829,161060
829,162210
829,162936
829,163225
835,92387
835,104137
835,109033
835,116806
835,119740
835,127463
835,128481
835,130955
835,131228
835,133195
835,134791
835,135247
835,135873
835,136422
835,137060
835,137245
835,137372
835,137521
835,137825
835,138474
835,139119
835,139869
835,140000
835,140563
835,140760
835,143326
835,144158
835,144993
835,145038
835,145217
835,145448
835,145759
835,145895
835,146860
835,148982
835,149767
835,150043
835,150443
835,151381
835,151449
835,153432
835,154019
835,155051
835,155091
835,155783
835,156679
835,157534
835,159038
835,161685
835,161849
835,162502
835,164685
835,167632
835,168316
835,168525
835,169483
835,173523
835,175830
835,177098
835,179509
835,179924
835,181943
835,183994
835,184196
835,187176
835,190092
835,190117
835,190595
835,192818
835,192946
835,196672
835,197119
835,197243
835,197359
835,197772
835,198306
835,199574
835,200594
835,201825
835,204814
835,207224
835,207229
841,55218
841,101119
841,125324
841,131078
841,132628
841,132723
841,134416
841,135140
841,137825
841,147830
841,148419
841,148561
844,130464
844,132056
844,160852
844,161364
844,163225
844,167466
844,172067
845,117300
845,118807
845,130695
845,133062
845,135071
845,140635
845,144455
845,146089
845,150686
845,153414
845,199944
855,54435
855,77690
855,123722
855,130464
855,130585
855,130631
855,132569
855,134667
855,135462
855,135541
855,135649
855,135870
855,136468
855,137070
855,137577
855,138981
855,139148
855,139223
855,139757
855,139790
855,139888
855,140060
855,140222
855,140597
855,141278
855,142396
855,142575
855,142724
855,143581
855,144275
855,144281
855,144306
855,145485
855,145607
855,146042
855,146496
855,146773
855,147754
855,147786
855,148582
855,148654
855,149352
855,149969
855,150907
855,151403
855,151731
855,151944
855,152331
855,152739
855,153639
855,154177
855,155415
855,155932
855,156890
855,157755
855,157984
855,158401
855,158965
855,160164
855,160906
855,161060
855,161064
855,161334
855,161338
855,161353
855,161615
855,161831
855,162210
855,162263
855,162936
855,163091
855,163225
855,163286
855,163406
855,163954
855,164093
855,164346
855,164683
855,165343
855,165783
855,165808
855,167466
855,168269
855,169523
855,169657
855,169926
855,171118
855,171604
855,172067
855,172911
855,175177
855,175728
855,176316
855,176910
855,177136
855,177497
855,177610
855,178003
855,178024
855,178504
855,178522
855,178587
855,179142
855,179405
856,204953
860,110782
860,134213
860,135134
860,152541
860,204408
860,206798
863,116441
863,160456
863,171825
863,175250
866,105005
866,123223
866,131078
866,137473
866,140121
866,148582
866,150139
866,152360
866,156937
866,158195
866,161216
866,164727
866,165360
866,179509
866,181648
866,192687
866,203033
866,204147
870,144550
870,148381
